legacy row	current targets	disposition	reason
character|button|BackButton|BACK	button:BackButton	retained	Same control identity; current routed owner, not a hidden converted node.
character|button|BackButton|‹ BACK	button:BackButton	retained	Same control identity; current routed owner, not a hidden converted node.
character|button|BackButton|◀  BACK	button:BackButton	retained	Same control identity; current routed owner, not a hidden converted node.
character|button|BrowserRow0|CHECKING ONLINE SERVERS…	button:NearbyChip;button:OnlineChip;button:Room0	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|BrowserRow0|SEARCHING YOUR NETWORK…	button:NearbyChip;button:OnlineChip;button:Room0	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|BrowserRow1|AVAILABLE GAMES APPEAR HERE	button:NearbyChip;button:OnlineChip;button:Room0	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|BrowserRow2|AVAILABLE GAMES APPEAR HERE	button:NearbyChip;button:OnlineChip;button:Room0	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|BrowserRow3|AVAILABLE GAMES APPEAR HERE	button:NearbyChip;button:OnlineChip;button:Room0	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_ACCOUNT|ACCOUNT	button:HubTabAccount	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_BACK|BACK	button:TumpBack	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_CAREER|CAREER	button:HubTabCareer	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_CLOSE|CLOSE	button:ClosePlayerHub	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_CONTINUE|CONTINUE	button:ContinueAccount	retained	Current owner constructs this conditional ready/queue/welcome control. Catalogued without matchmaking/authentication; behavioral evidence remains separate.
character|button|Button_COPY|COPY	button:CopyRoomCode;button:CopyRoomAddress	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_FRIENDS|FRIENDS	button:HubTabFriends	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_HERO|HERO	button:TumpCategory0	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_LATA|LATA	button:TumpCategory1	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_MATCHES|MATCHES	button:HubTabMatches	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_PROFILE|PROFILE	button:HubTabProfile	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_SAVE|SAVE	button:HubPrimary	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_SIGN IN|SIGN IN	button:SubmitAccount	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|Button_TSINELAS|TSINELAS	button:TumpCategory2	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|CancelQueueButton|CANCEL	button:CancelQueueButton	retained	Current owner constructs this conditional ready/queue/welcome control. Catalogued without matchmaking/authentication; behavioral evidence remains separate.
character|button|CharNextButton|	button:Portrait_dante;button:Portrait_sean	retained	Capability moved to the named painted-screen control; retain the original baseline row.
character|button|CharPrevButton|	button:Portrait_dante;button:Portrait_sean	retained	Capability moved to the named painted-screen control; retain the original baseline row.
